account_id,customer_name,branch_id,city,state,region,product_type,currency,open_date,risk_segment
ACC10000,Customer 001,BR01,Austin,TX,South,CHECKING,EUR,2021-08-02,Medium
ACC10001,Customer 002,BR02,Dallas,TX,South,SAVINGS,USD,2021-10-26,Low
ACC10002,Customer 003,BR03,Chicago,IL,Midwest,CREDIT_CARD,GBP,2022-01-11,Medium
ACC10003,Customer 004,BR04,New York,NY,Northeast,MONEY_MARKET,USD,2018-09-14,Low
ACC10004,Customer 005,BR05,Seattle,WA,West,CREDIT_CARD,USD,2019-01-01,Medium
ACC10005,Customer 006,BR06,Denver,CO,West,MONEY_MARKET,USD,2022-07-04,Low
ACC10006,Customer 007,BR07,Atlanta,GA,South,SAVINGS,USD,2018-07-04,Low
ACC10007,Customer 008,BR08,Boston,MA,Northeast,CREDIT_CARD,GBP,2022-07-14,Medium
ACC10008,Customer 009,BR01,Austin,TX,South,CHECKING,EUR,2021-11-02,High
ACC10009,Customer 010,BR02,Dallas,TX,South,SAVINGS,USD,2022-11-22,Medium
ACC10010,Customer 011,BR03,Chicago,IL,Midwest,MONEY_MARKET,USD,2019-12-29,Low
ACC10011,Customer 012,BR04,New York,NY,Northeast,SAVINGS,USD,2018-11-05,Medium
ACC10012,Customer 013,BR05,Seattle,WA,West,MONEY_MARKET,EUR,2020-01-04,Low
ACC10013,Customer 014,BR06,Denver,CO,West,MONEY_MARKET,GBP,2020-01-11,Low
ACC10014,Customer 015,BR07,Atlanta,GA,South,MONEY_MARKET,USD,2020-07-14,Low
ACC10015,Customer 016,BR08,Boston,MA,Northeast,CHECKING,USD,2019-03-30,Medium
ACC10016,Customer 017,BR01,Austin,TX,South,MONEY_MARKET,USD,2018-11-18,Medium
ACC10017,Customer 018,BR02,Dallas,TX,South,MONEY_MARKET,USD,2019-09-17,Medium
ACC10018,Customer 019,BR03,Chicago,IL,Midwest,SAVINGS,EUR,2022-08-11,Low
ACC10019,Customer 020,BR04,New York,NY,Northeast,SAVINGS,USD,2021-09-26,Low
ACC10020,Customer 021,BR05,Seattle,WA,West,MONEY_MARKET,USD,2022-05-29,Medium
ACC10021,Customer 022,BR06,Denver,CO,West,CHECKING,EUR,2021-08-22,Medium
ACC10022,Customer 023,BR07,Atlanta,GA,South,SAVINGS,EUR,2021-01-16,Low
ACC10023,Customer 024,BR08,Boston,MA,Northeast,SAVINGS,USD,2018-10-07,Low
ACC10024,Customer 025,BR01,Austin,TX,South,SAVINGS,EUR,2021-08-01,Low
ACC10025,Customer 026,BR02,Dallas,TX,South,SAVINGS,USD,2022-03-10,Medium
ACC10026,Customer 027,BR03,Chicago,IL,Midwest,CREDIT_CARD,USD,2018-07-01,Low
ACC10027,Customer 028,BR04,New York,NY,Northeast,CREDIT_CARD,USD,2018-03-03,Low
ACC10028,Customer 029,BR05,Seattle,WA,West,MONEY_MARKET,USD,2019-07-08,Medium
ACC10029,Customer 030,BR06,Denver,CO,West,SAVINGS,USD,2019-04-13,Low
ACC10030,Customer 031,BR07,Atlanta,GA,South,MONEY_MARKET,USD,2023-01-10,Medium
ACC10031,Customer 032,BR08,Boston,MA,Northeast,SAVINGS,USD,2021-01-19,Medium
ACC10032,Customer 033,BR01,Austin,TX,South,MONEY_MARKET,USD,2020-03-29,Medium
ACC10033,Customer 034,BR02,Dallas,TX,South,SAVINGS,USD,2018-11-30,Low
ACC10034,Customer 035,BR03,Chicago,IL,Midwest,CHECKING,USD,2022-03-24,Low
ACC10035,Customer 036,BR04,New York,NY,Northeast,CREDIT_CARD,EUR,2018-11-19,Low
ACC10036,Customer 037,BR05,Seattle,WA,West,MONEY_MARKET,USD,2020-09-21,Low
ACC10037,Customer 038,BR06,Denver,CO,West,CREDIT_CARD,USD,2020-02-02,Low
ACC10038,Customer 039,BR07,Atlanta,GA,South,CREDIT_CARD,USD,2021-04-29,Low
ACC10039,Customer 040,BR08,Boston,MA,Northeast,SAVINGS,USD,2018-08-25,High
