txn_id,account_id,txn_date,amount,txn_type,channel,description,source
TXN00001,ACC1016,2024-02-22,3872.04,CREDIT,ATM,Payment 1,internal
TXN00002,ACC1005,2024-01-12,3489.87,DEBIT,ATM,Payment 2,internal
TXN00003,ACC1017,2024-04-04,3808.09,DEBIT,ACH,Payment 3,internal
TXN00004,ACC1012,2024-02-14,2257.43,CREDIT,ATM,Payment 4,internal
TXN00005,ACC1010,2024-04-08,3222.89,DEBIT,CARD,Payment 5,internal
TXN00006,ACC1002,2024-03-07,1143.92,DEBIT,ACH,Payment 6,internal
TXN00007,ACC1006,2024-03-16,4139.88,CREDIT,CHECK,Payment 7,internal
TXN00008,ACC1001,2024-04-26,1779.08,CREDIT,ATM,Payment 8,internal
TXN00009,ACC1018,2024-01-24,3894.13,CREDIT,CARD,Payment 9,internal
TXN00010,ACC1013,2024-01-19,228.58,DEBIT,CHECK,Payment 10,internal
TXN00011,ACC1009,2024-04-26,3726.36,CREDIT,WIRE,Payment 11,internal
TXN00012,ACC1001,2024-02-26,1858.59,DEBIT,ACH,Payment 12,internal
TXN00013,ACC1017,2024-02-27,658.31,CREDIT,WIRE,Payment 13,internal
TXN00014,ACC1023,2024-02-22,3352.37,CREDIT,ATM,Payment 14,internal
TXN00015,ACC1002,2024-02-07,3504.32,DEBIT,ATM,Payment 15,internal
TXN00016,ACC1021,2024-02-16,4025.77,DEBIT,WIRE,Payment 16,internal
TXN00017,ACC1015,2024-01-17,3415.65,DEBIT,ACH,Payment 17,internal
TXN00018,ACC1019,2024-04-04,46.74,DEBIT,CHECK,Payment 18,internal
TXN00019,ACC1006,2024-04-03,3528.78,DEBIT,CARD,Payment 19,internal
TXN00020,ACC1000,2024-01-17,2848.02,CREDIT,ACH,Payment 20,internal
TXN00021,ACC1016,2024-02-26,3345.33,DEBIT,CARD,Payment 21,internal
TXN00022,ACC1014,2024-03-17,3827.34,DEBIT,CARD,Payment 22,internal
TXN00023,ACC1019,2024-02-06,2800.44,DEBIT,ACH,Payment 23,internal
TXN00024,ACC1024,2024-01-26,2189.22,CREDIT,CARD,Payment 24,internal
